Participant_ID,AlphaERD_pre,AlphaERD_pst,ThetaERS_pre,ThetaERS_pst,FAAPSD_pre,FAAPSD_pst,ThetaPSD_pre,ThetaPSD_pst,P2_pre,P2_pst,P3_pre,P3_pst,dprime_pre,dprime_pst,rt_pre,rt_pst
1,-0.809144039,-0.36665694,0.589567861,0.091859532,-0.0906,0.0499,-0.4940,-0.7659,0.235610931,0.595771644,1.029654746,1.083553818,1.7,1.98,724.05,1051.85
2,-0.269755487,-0.503704109,0.687643811,1.11196472,0.0288,0.0100,-0.7102,-0.6682,3.076156447,4.748191722,1.258126947,1.504211303,2.1,2.68,914.57,714.47
3,0.026136134,-0.443521837,2.095412997,2.727678306,-0.0393,0.8980,-0.9808,-3.8947,2.523550225,2.030315019,0.644562982,0.898050673,2.3,0.79,341.96,543.18
4,-2.550661622,-2.631614455,-0.568369687,-0.588064816,-0.0295,-0.0074,1.1272,1.0821,1.080480883,2.720325501,1.995009158,0.802663952,1.58,1.66,632.25,694.69
5,0.749840823,-1.00225565,0.534226686,0.342921921,0.8281,0.1079,1.2041,1.1140,2.378452443,2.449856648,1.362691082,1.6042397,2.04,1.64,853.55,1237.00
6,-2.455249473,-2.102645276,-0.038030782,-0.290115981,0.0610,0.0693,1.2525,0.9766,3.581320712,4.379476899,0.225801641,0.082158393,1.87,2.18,610.44,669.55
7,-0.531783149,-1.32227479,0.574701024,0.357009975,0.0961,-0.4156,-1.8051,-0.9929,0.693430268,0.51615224,-0.628812989,0.604428434,1.72,0.9,892.59,1196.57
8,-0.173923441,-0.302549031,0.789212948,1.342951231,-0.0014,0.0662,-0.1801,-0.4940,2.431808926,2.601287093,1.268828586,1.466959565,1.61,2.52,683.27,630.54
9,-1.108659649,-1.651786233,0.821679799,0.706568467,-0.1264,-0.1446,-0.0253,-0.1306,2.57754603,3.354402296,1.459001246,0.665906612,-0.58,0.29,678.50,860.89
10,-0.622240238,0.075857539,0.477198561,0.744575674,0.0003,0.1001,-0.1864,-0.4043,1.159169495,2.329654729,-1.128570335,-1.094496703,2.48,2.84,726.17,1073.05
11,-0.187303609,0.130986948,1.387720697,1.25593776,-0.0694,-0.1720,-0.9702,-0.9116,1.623571238,1.777982204,2.914071049,2.551686408,2.44,2.77,1053.53,1022.61
12,-3.345608274,-4.286442184,0.336784119,0.137602505,0.0174,0.0421,-0.0855,-0.1291,2.701875024,3.063805012,2.108450083,3.087833914,1.85,2.43,874.86,818.44
13,0.903166486,-1.019239821,0.522950232,0.011609764,0.0784,-0.0449,0.5638,0.7583,1.846554666,1.472983092,4.387667884,3.555264645,0.97,2.03,966.15,769.58
14,-1.089740971,-0.751298511,-0.297180808,0.159191556,-0.1510,-0.1441,-0.6269,-0.7606,-0.43255638,0.29984547,-0.130258467,0.497323643,1.44,1.45,859.21,960.67
15,-2.352274623,-2.037317647,0.932659168,0.874982089,0.1213,-0.0327,-0.8605,0.0390,-0.220407506,0.791965669,-1.614402585,-1.076533291,1.69,2.46,879.74,1251.07
16,-2.697782281,-1.00070512,-0.312020958,1.342053556,-0.0009,-0.0105,0.6424,0.7949,2.038736176,4.259855897,-2.113380695,0.320456182,1.96,3.73,843.23,639.76
17,-2.09914214,-2.874433912,-0.524925684,-0.990712626,0.0227,-0.0151,0.5448,0.9402,1.86113353,0.599278911,1.745010714,2.304601767,2.39,3.09,808.36,778.00
18,-0.46834852,-0.495694307,1.503967887,1.239142363,0.1069,0.1434,-0.0987,0.0475,3.509364557,2.772970738,3.489469455,2.099225198,0.39,1.71,1140.00,832.00
19,-0.774245579,-0.035056587,-0.128410625,0.02719093,-0.2300,0.2368,0.7333,0.4924,0.70812038,-0.051982102,0.202411776,-0.77228487,0.39,0.9,592.64,440.14
20,-4.976396823,-4.411372231,-0.23589067,-0.379254903,1.0838,-0.0244,-2.5579,1.1760,-0.582686976,0.48932,1.77970814,0.666242066,1.98,2.09,838.57,522.58